[Settings]
Original Result File Name;rj-cg-res_20170927_084112.csv
Version;2.0
Project;
Protocol;rj-cg-res
Control File For Robot;C:\TECAN\Handshake
Log File;C:\ProgramData\RoboLector Agent\LAgent Settings\Logs\SimProtocol48_129483_Pipetting.csv
Max. Well Volume;2500
[Trigger Settings 1]
Trigger Index;0
A04;2.01;10
A05;2.01;10
A06;2.01;10
A07;2.01;10
A08;2.01;10
B01;2.01;10
B02;2.01;10
B03;2.01;10
B04;2.01;10
B05;2.01;10
B06;2.01;10
B07;2.01;10
B08;2.01;10
C01;2.01;10
C02;2.01;10
C03;2.01;10
C04;2.01;10
C05;2.01;10
C06;2.01;10
C07;2.01;10
C08;2.01;10
D01;2.01;10
D02;2.01;10
D03;2.01;10
D04;2.01;10
D05;2.01;10
D06;2.01;10
D07;2.01;10
D08;2.01;10
E01;2.01;10
E02;2.01;10
E03;2.01;10
E04;2.01;10
E05;2.01;10
E06;2.01;10
E07;2.01;10
E08;2.01;10
F01;2.01;10
F02;2.01;10
F03;2.01;10
F04;2.01;10
F05;2.01;10
F06;2.01;10
F07;2.01;10
F08;2.01;10
[Trigger Settings 5]
Trigger Index;4
IsManual;FalseTrigger Signal;Delta.Time [h]
Pipetting Mode;Sampling
Comparer;>
Repeat;1
Liquid Name;
Related Trigger;Trigger 2
Well;Setpoint;Volume
A01;2.1;850
A02;6.1;850
A03;10.1;850
A04;14.1;850
A05;2.1;850
A06;6.1;850
A07;10.1;850
A08;14.1;850
B01;2.1;850
B02;6.1;850
B03;10.1;850
B04;14.1;850
B05;2.1;850
B06;6.1;850
B07;10.1;850
B08;14.1;850
C01;2.1;850
C02;6.1;850
C03;10.1;850
C04;14.1;850
C05;2.1;850
C06;6.1;850
C07;10.1;850
C08;14.1;850
D01;4.1;850
D02;8.1;850
D03;12.1;850
D04;16.1;850
D05;4.1;850
D06;8.1;850
D07;12.1;850
D08;16.1;850
E01;4.1;850
E02;8.1;850
E03;12.1;850
E04;16.1;850
E05;4.1;850
E06;8.1;850
E07;12.1;850
E08;16.1;850
F01;4.1;850
F02;8.1;850
F03;12.1;850
F04;16.1;850
F05;4.1;850
F06;8.1;850
F07;12.1;850
F08;16.1;850
[StartVol]
Well;Start Volume
A01;900
A02;900
A03;900
A04;900
A05;900
A06;900
A07;900
A08;900
A09;0
A10;0
A11;0
A12;0
B01;900
B02;900
B03;900
B04;900
B05;900
B06;900
B07;900
B08;900
B09;0
B10;0
B11;0
B12;0
C01;900
C02;900
C03;900
C04;900
C05;900
C06;900
C07;900
C08;900
C09;0
C10;0
C11;0
C12;0
D01;900
D02;900
D03;900
D04;900
D05;900
D06;900
D07;900
D08;900
D09;0
D10;0
D11;0
D12;0
E01;900
E02;900
E03;900
E04;900
E05;900
E06;900
E07;900
E08;900
E09;0
E10;0
E11;0
E12;0
F01;900
F02;900
F03;900
F04;900
F05;900
F06;900
F07;900
F08;900
F09;0
F10;0
F11;0
F12;0
G01;0
G02;0
G03;0
G04;0
G05;0
G06;0
G07;0
G08;0
G09;0
G10;0
G11;0
G12;0
H01;0
H02;0
H03;0
H04;0
H05;0
H06;0
H07;0
H08;0
H09;0
H10;0
H11;0
H12;0
[Log]
Date;Runtime[h];Cycle No.;Well;Trigger;Source;Destination;Volume;Mode;Tip
27.09.2017;12.93027;78;A01;IPTG induction (Measurement Channel1);Dosing:A01;BioLector:A01;10;Dosing;Fixed;
27.09.2017;12.93027;78;A02;IPTG induction (Measurement Channel1);Dosing:A01;BioLector:A02;10;Dosing;Fixed;
27.09.2017;12.93027;78;A03;IPTG induction (Measurement Channel1);Dosing:A01;BioLector:A03;10;Dosing;Fixed;
27.09.2017;12.93027;78;B01;IPTG induction (Measurement Channel1);Dosing:B01;BioLector:B01;10;Dosing;Fixed;
27.09.2017;12.93027;78;B02;IPTG induction (Measurement Channel1);Dosing:B01;BioLector:B02;10;Dosing;Fixed;
27.09.2017;12.93027;78;B03;IPTG induction (Measurement Channel1);Dosing:B01;BioLector:B03;10;Dosing;Fixed;
27.09.2017;12.93027;78;B04;IPTG induction (Measurement Channel1);Dosing:B01;BioLector:B04;10;Dosing;Fixed;
27.09.2017;12.93027;78;B05;IPTG induction (Measurement Channel1);Dosing:B01;BioLector:B05;10;Dosing;Fixed;
27.09.2017;12.93027;78;B06;IPTG induction (Measurement Channel1);Dosing:B01;BioLector:B06;10;Dosing;Fixed;
27.09.2017;12.93027;78;B07;IPTG induction (Measurement Channel1);Dosing:B01;BioLector:B07;10;Dosing;Fixed;
27.09.2017;12.93027;78;C01;IPTG induction (Measurement Channel1);Dosing:C01;BioLector:C01;10;Dosing;Fixed;
27.09.2017;12.93027;78;C02;IPTG induction (Measurement Channel1);Dosing:C01;BioLector:C02;10;Dosing;Fixed;
27.09.2017;12.93027;78;C03;IPTG induction (Measurement Channel1);Dosing:C01;BioLector:C03;10;Dosing;Fixed;
27.09.2017;12.93027;78;C04;IPTG induction (Measurement Channel1);Dosing:C01;BioLector:C04;10;Dosing;Fixed;
27.09.2017;12.93027;78;C05;IPTG induction (Measurement Channel1);Dosing:C01;BioLector:C05;10;Dosing;Fixed;
27.09.2017;12.93027;78;C06;IPTG induction (Measurement Channel1);Dosing:C01;BioLector:C06;10;Dosing;Fixed;
27.09.2017;12.93027;78;D01;IPTG induction (Measurement Channel1);Dosing:D01;BioLector:D01;10;Dosing;Fixed;
27.09.2017;12.93027;78;D02;IPTG induction (Measurement Channel1);Dosing:D01;BioLector:D02;10;Dosing;Fixed;
27.09.2017;12.93027;78;D03;IPTG induction (Measurement Channel1);Dosing:D01;BioLector:D03;10;Dosing;Fixed;
27.09.2017;12.93027;78;D04;IPTG induction (Measurement Channel1);Dosing:D01;BioLector:D04;10;Dosing;Fixed;
27.09.2017;12.93027;78;D06;IPTG induction (Measurement Channel1);Dosing:D01;BioLector:D06;10;Dosing;Fixed;
27.09.2017;12.93027;78;D07;IPTG induction (Measurement Channel1);Dosing:D01;BioLector:D07;10;Dosing;Fixed;
27.09.2017;12.93027;78;E02;IPTG induction (Measurement Channel1);Dosing:E01;BioLector:E02;10;Dosing;Fixed;
27.09.2017;12.93027;78;E03;IPTG induction (Measurement Channel1);Dosing:E01;BioLector:E03;10;Dosing;Fixed;
27.09.2017;12.93027;78;E04;IPTG induction (Measurement Channel1);Dosing:E01;BioLector:E04;10;Dosing;Fixed;
27.09.2017;12.93027;78;E05;IPTG induction (Measurement Channel1);Dosing:E01;BioLector:E05;10;Dosing;Fixed;
27.09.2017;12.93027;78;E06;IPTG induction (Measurement Channel1);Dosing:E01;BioLector:E06;10;Dosing;Fixed;
27.09.2017;12.93027;78;F04;IPTG induction (Measurement Channel1);Dosing:F01;BioLector:F04;10;Dosing;Fixed;
27.09.2017;12.93027;78;F06;IPTG induction (Measurement Channel1);Dosing:F01;BioLector:F06;10;Dosing;Fixed;
27.09.2017;13.13985;79;A04;IPTG induction (Measurement Channel1);Dosing:A01;BioLector:A04;10;Dosing;Fixed;
27.09.2017;13.13985;79;A05;IPTG induction (Measurement Channel1);Dosing:A01;BioLector:A05;10;Dosing;Fixed;
27.09.2017;13.13985;79;A06;IPTG induction (Measurement Channel1);Dosing:A01;BioLector:A06;10;Dosing;Fixed;
27.09.2017;13.13985;79;A07;IPTG induction (Measurement Channel1);Dosing:A01;BioLector:A07;10;Dosing;Fixed;
27.09.2017;13.13985;79;A08;IPTG induction (Measurement Channel1);Dosing:A01;BioLector:A08;10;Dosing;Fixed;
27.09.2017;13.13985;79;B08;IPTG induction (Measurement Channel1);Dosing:B01;BioLector:B08;10;Dosing;Fixed;
27.09.2017;13.13985;79;C07;IPTG induction (Measurement Channel1);Dosing:C01;BioLector:C07;10;Dosing;Fixed;
27.09.2017;13.13985;79;C08;IPTG induction (Measurement Channel1);Dosing:C01;BioLector:C08;10;Dosing;Fixed;
27.09.2017;13.13985;79;D05;IPTG induction (Measurement Channel1);Dosing:D01;BioLector:D05;10;Dosing;Fixed;
27.09.2017;13.13985;79;D08;IPTG induction (Measurement Channel1);Dosing:D01;BioLector:D08;10;Dosing;Fixed;
27.09.2017;13.13985;79;E01;IPTG induction (Measurement Channel1);Dosing:E01;BioLector:E01;10;Dosing;Fixed;
27.09.2017;13.13985;79;E07;IPTG induction (Measurement Channel1);Dosing:E01;BioLector:E07;10;Dosing;Fixed;
27.09.2017;13.13985;79;E08;IPTG induction (Measurement Channel1);Dosing:E01;BioLector:E08;10;Dosing;Fixed;
27.09.2017;13.13985;79;F01;IPTG induction (Measurement Channel1);Dosing:F01;BioLector:F01;10;Dosing;Fixed;
27.09.2017;13.13985;79;F02;IPTG induction (Measurement Channel1);Dosing:F01;BioLector:F02;10;Dosing;Fixed;
27.09.2017;13.13985;79;F03;IPTG induction (Measurement Channel1);Dosing:F01;BioLector:F03;10;Dosing;Fixed;
27.09.2017;13.13985;79;F05;IPTG induction (Measurement Channel1);Dosing:F01;BioLector:F05;10;Dosing;Fixed;
27.09.2017;13.30823;80;F07;IPTG induction (Measurement Channel1);Dosing:F01;BioLector:F07;10;Dosing;Fixed;
27.09.2017;13.30823;80;F08;IPTG induction (Measurement Channel1);Dosing:F01;BioLector:F08;10;Dosing;Fixed;
27.09.2017;14.97502;90;A01;Glc Dosing (Delta.Time [h]);Dosing:A04;BioLector:A01;22;Dosing;Fixed;
27.09.2017;14.97502;90;A02;Glc Dosing (Delta.Time [h]);Dosing:A04;BioLector:A02;22;Dosing;Fixed;
27.09.2017;14.97502;90;A03;Glc Dosing (Delta.Time [h]);Dosing:A04;BioLector:A03;22;Dosing;Fixed;
27.09.2017;14.97502;90;B01;Glc Dosing (Delta.Time [h]);Dosing:B04;BioLector:B01;22;Dosing;Fixed;
27.09.2017;14.97502;90;B02;Glc Dosing (Delta.Time [h]);Dosing:B04;BioLector:B02;22;Dosing;Fixed;
27.09.2017;14.97502;90;B03;Glc Dosing (Delta.Time [h]);Dosing:B04;BioLector:B03;22;Dosing;Fixed;
27.09.2017;14.97502;90;B04;Glc Dosing (Delta.Time [h]);Dosing:B04;BioLector:B04;22;Dosing;Fixed;
27.09.2017;14.97502;90;B05;Glc Dosing (Delta.Time [h]);Dosing:B04;BioLector:B05;22;Dosing;Fixed;
27.09.2017;14.97502;90;B06;Glc Dosing (Delta.Time [h]);Dosing:B04;BioLector:B06;22;Dosing;Fixed;
27.09.2017;14.97502;90;B07;Glc Dosing (Delta.Time [h]);Dosing:B04;BioLector:B07;22;Dosing;Fixed;
27.09.2017;14.97502;90;C01;Glc Dosing (Delta.Time [h]);Dosing:C04;BioLector:C01;22;Dosing;Fixed;
27.09.2017;14.97502;90;C02;Glc Dosing (Delta.Time [h]);Dosing:C04;BioLector:C02;22;Dosing;Fixed;
27.09.2017;14.97502;90;C03;Glc Dosing (Delta.Time [h]);Dosing:C04;BioLector:C03;22;Dosing;Fixed;
27.09.2017;14.97502;90;C04;Glc Dosing (Delta.Time [h]);Dosing:C04;BioLector:C04;22;Dosing;Fixed;
27.09.2017;14.97502;90;C05;Glc Dosing (Delta.Time [h]);Dosing:C04;BioLector:C05;22;Dosing;Fixed;
27.09.2017;14.97502;90;C06;Glc Dosing (Delta.Time [h]);Dosing:C04;BioLector:C06;22;Dosing;Fixed;
27.09.2017;14.97502;90;D01;Glc Dosing (Delta.Time [h]);Dosing:D04;BioLector:D01;22;Dosing;Fixed;
27.09.2017;14.97502;90;D02;Glc Dosing (Delta.Time [h]);Dosing:D04;BioLector:D02;22;Dosing;Fixed;
27.09.2017;14.97502;90;D03;Glc Dosing (Delta.Time [h]);Dosing:D04;BioLector:D03;22;Dosing;Fixed;
27.09.2017;14.97502;90;D04;Glc Dosing (Delta.Time [h]);Dosing:D04;BioLector:D04;22;Dosing;Fixed;
27.09.2017;14.97502;90;D06;Glc Dosing (Delta.Time [h]);Dosing:D04;BioLector:D06;22;Dosing;Fixed;
27.09.2017;14.97502;90;D07;Glc Dosing (Delta.Time [h]);Dosing:D04;BioLector:D07;22;Dosing;Fixed;
27.09.2017;14.97502;90;E02;Glc Dosing (Delta.Time [h]);Dosing:E04;BioLector:E02;22;Dosing;Fixed;
27.09.2017;14.97502;90;E03;Glc Dosing (Delta.Time [h]);Dosing:E04;BioLector:E03;22;Dosing;Fixed;
27.09.2017;14.97502;90;E04;Glc Dosing (Delta.Time [h]);Dosing:E04;BioLector:E04;22;Dosing;Fixed;
27.09.2017;14.97502;90;E05;Glc Dosing (Delta.Time [h]);Dosing:E04;BioLector:E05;22;Dosing;Fixed;
27.09.2017;14.97502;90;E06;Glc Dosing (Delta.Time [h]);Dosing:E04;BioLector:E06;22;Dosing;Fixed;
27.09.2017;14.97502;90;F04;Glc Dosing (Delta.Time [h]);Dosing:F04;BioLector:F04;22;Dosing;Fixed;
27.09.2017;14.97502;90;F06;Glc Dosing (Delta.Time [h]);Dosing:F04;BioLector:F06;22;Dosing;Fixed;
27.09.2017;14.97502;90;A01;pCA Dosing (Delta.Time [h]);Dosing:A03;BioLector:A01;10;Dosing;Fixed;
27.09.2017;14.97502;90;A02;pCA Dosing (Delta.Time [h]);Dosing:A03;BioLector:A02;10;Dosing;Fixed;
27.09.2017;14.97502;90;A03;pCA Dosing (Delta.Time [h]);Dosing:A03;BioLector:A03;10;Dosing;Fixed;
27.09.2017;14.97502;90;B05;pCA Dosing (Delta.Time [h]);Dosing:B02;BioLector:B05;10;Dosing;Fixed;
27.09.2017;14.97502;90;B06;pCA Dosing (Delta.Time [h]);Dosing:B02;BioLector:B06;10;Dosing;Fixed;
27.09.2017;14.97502;90;B07;pCA Dosing (Delta.Time [h]);Dosing:B02;BioLector:B07;10;Dosing;Fixed;
27.09.2017;14.97502;90;B01;pCA Dosing (Delta.Time [h]);Dosing:B03;BioLector:B01;10;Dosing;Fixed;
27.09.2017;14.97502;90;B02;pCA Dosing (Delta.Time [h]);Dosing:B03;BioLector:B02;10;Dosing;Fixed;
27.09.2017;14.97502;90;B03;pCA Dosing (Delta.Time [h]);Dosing:B03;BioLector:B03;10;Dosing;Fixed;
27.09.2017;14.97502;90;B04;pCA Dosing (Delta.Time [h]);Dosing:B03;BioLector:B04;10;Dosing;Fixed;
27.09.2017;14.97502;90;C05;pCA Dosing (Delta.Time [h]);Dosing:C02;BioLector:C05;10;Dosing;Fixed;
27.09.2017;14.97502;90;C06;pCA Dosing (Delta.Time [h]);Dosing:C02;BioLector:C06;10;Dosing;Fixed;
27.09.2017;14.97502;90;C01;pCA Dosing (Delta.Time [h]);Dosing:C03;BioLector:C01;10;Dosing;Fixed;
27.09.2017;14.97502;90;C02;pCA Dosing (Delta.Time [h]);Dosing:C03;BioLector:C02;10;Dosing;Fixed;
27.09.2017;14.97502;90;C03;pCA Dosing (Delta.Time [h]);Dosing:C03;BioLector:C03;10;Dosing;Fixed;
27.09.2017;14.97502;90;C04;pCA Dosing (Delta.Time [h]);Dosing:C03;BioLector:C04;10;Dosing;Fixed;
27.09.2017;14.97502;90;D06;pCA Dosing (Delta.Time [h]);Dosing:D02;BioLector:D06;10;Dosing;Fixed;
27.09.2017;14.97502;90;D07;pCA Dosing (Delta.Time [h]);Dosing:D02;BioLector:D07;10;Dosing;Fixed;
27.09.2017;14.97502;90;D01;pCA Dosing (Delta.Time [h]);Dosing:D03;BioLector:D01;10;Dosing;Fixed;
27.09.2017;14.97502;90;D02;pCA Dosing (Delta.Time [h]);Dosing:D03;BioLector:D02;10;Dosing;Fixed;
27.09.2017;14.97502;90;D03;pCA Dosing (Delta.Time [h]);Dosing:D03;BioLector:D03;10;Dosing;Fixed;
27.09.2017;14.97502;90;D04;pCA Dosing (Delta.Time [h]);Dosing:D03;BioLector:D04;10;Dosing;Fixed;
27.09.2017;14.97502;90;E05;pCA Dosing (Delta.Time [h]);Dosing:E02;BioLector:E05;10;Dosing;Fixed;
27.09.2017;14.97502;90;E06;pCA Dosing (Delta.Time [h]);Dosing:E02;BioLector:E06;10;Dosing;Fixed;
27.09.2017;14.97502;90;E02;pCA Dosing (Delta.Time [h]);Dosing:E03;BioLector:E02;10;Dosing;Fixed;
27.09.2017;14.97502;90;E03;pCA Dosing (Delta.Time [h]);Dosing:E03;BioLector:E03;10;Dosing;Fixed;
27.09.2017;14.97502;90;E04;pCA Dosing (Delta.Time [h]);Dosing:E03;BioLector:E04;10;Dosing;Fixed;
27.09.2017;14.97502;90;F06;pCA Dosing (Delta.Time [h]);Dosing:F02;BioLector:F06;10;Dosing;Fixed;
27.09.2017;14.97502;90;F04;pCA Dosing (Delta.Time [h]);Dosing:F03;BioLector:F04;10;Dosing;Fixed;
28.09.2017;15.2804;91;A04;Glc Dosing (Delta.Time [h]);Dosing:A04;BioLector:A04;22;Dosing;Fixed;
28.09.2017;15.2804;91;A05;Glc Dosing (Delta.Time [h]);Dosing:A04;BioLector:A05;22;Dosing;Fixed;
28.09.2017;15.2804;91;A06;Glc Dosing (Delta.Time [h]);Dosing:A04;BioLector:A06;22;Dosing;Fixed;
28.09.2017;15.2804;91;A07;Glc Dosing (Delta.Time [h]);Dosing:A04;BioLector:A07;22;Dosing;Fixed;
28.09.2017;15.2804;91;A08;Glc Dosing (Delta.Time [h]);Dosing:A04;BioLector:A08;22;Dosing;Fixed;
28.09.2017;15.2804;91;B08;Glc Dosing (Delta.Time [h]);Dosing:B04;BioLector:B08;22;Dosing;Fixed;
28.09.2017;15.2804;91;C07;Glc Dosing (Delta.Time [h]);Dosing:C04;BioLector:C07;22;Dosing;Fixed;
28.09.2017;15.2804;91;C08;Glc Dosing (Delta.Time [h]);Dosing:C04;BioLector:C08;22;Dosing;Fixed;
28.09.2017;15.2804;91;D05;Glc Dosing (Delta.Time [h]);Dosing:D04;BioLector:D05;22;Dosing;Fixed;
28.09.2017;15.2804;91;D08;Glc Dosing (Delta.Time [h]);Dosing:D04;BioLector:D08;22;Dosing;Fixed;
28.09.2017;15.2804;91;E01;Glc Dosing (Delta.Time [h]);Dosing:E04;BioLector:E01;22;Dosing;Fixed;
28.09.2017;15.2804;91;E07;Glc Dosing (Delta.Time [h]);Dosing:E04;BioLector:E07;22;Dosing;Fixed;
28.09.2017;15.2804;91;E08;Glc Dosing (Delta.Time [h]);Dosing:E04;BioLector:E08;22;Dosing;Fixed;
28.09.2017;15.2804;91;F01;Glc Dosing (Delta.Time [h]);Dosing:F04;BioLector:F01;22;Dosing;Fixed;
28.09.2017;15.2804;91;F02;Glc Dosing (Delta.Time [h]);Dosing:F04;BioLector:F02;22;Dosing;Fixed;
28.09.2017;15.2804;91;F03;Glc Dosing (Delta.Time [h]);Dosing:F04;BioLector:F03;22;Dosing;Fixed;
28.09.2017;15.2804;91;F05;Glc Dosing (Delta.Time [h]);Dosing:F04;BioLector:F05;22;Dosing;Fixed;
28.09.2017;15.2804;91;A05;pCA Dosing (Delta.Time [h]);Dosing:A02;BioLector:A05;10;Dosing;Fixed;
28.09.2017;15.2804;91;A06;pCA Dosing (Delta.Time [h]);Dosing:A02;BioLector:A06;10;Dosing;Fixed;
28.09.2017;15.2804;91;A07;pCA Dosing (Delta.Time [h]);Dosing:A02;BioLector:A07;10;Dosing;Fixed;
28.09.2017;15.2804;91;A08;pCA Dosing (Delta.Time [h]);Dosing:A02;BioLector:A08;10;Dosing;Fixed;
28.09.2017;15.2804;91;A04;pCA Dosing (Delta.Time [h]);Dosing:A03;BioLector:A04;10;Dosing;Fixed;
28.09.2017;15.2804;91;B08;pCA Dosing (Delta.Time [h]);Dosing:B02;BioLector:B08;10;Dosing;Fixed;
28.09.2017;15.2804;91;C07;pCA Dosing (Delta.Time [h]);Dosing:C02;BioLector:C07;10;Dosing;Fixed;
28.09.2017;15.2804;91;C08;pCA Dosing (Delta.Time [h]);Dosing:C02;BioLector:C08;10;Dosing;Fixed;
28.09.2017;15.2804;91;D05;pCA Dosing (Delta.Time [h]);Dosing:D02;BioLector:D05;10;Dosing;Fixed;
28.09.2017;15.2804;91;D08;pCA Dosing (Delta.Time [h]);Dosing:D02;BioLector:D08;10;Dosing;Fixed;
28.09.2017;15.2804;91;E07;pCA Dosing (Delta.Time [h]);Dosing:E02;BioLector:E07;10;Dosing;Fixed;
28.09.2017;15.2804;91;E08;pCA Dosing (Delta.Time [h]);Dosing:E02;BioLector:E08;10;Dosing;Fixed;
28.09.2017;15.2804;91;E01;pCA Dosing (Delta.Time [h]);Dosing:E03;BioLector:E01;10;Dosing;Fixed;
28.09.2017;15.2804;91;F05;pCA Dosing (Delta.Time [h]);Dosing:F02;BioLector:F05;10;Dosing;Fixed;
28.09.2017;15.2804;91;F01;pCA Dosing (Delta.Time [h]);Dosing:F03;BioLector:F01;10;Dosing;Fixed;
28.09.2017;15.2804;91;F02;pCA Dosing (Delta.Time [h]);Dosing:F03;BioLector:F02;10;Dosing;Fixed;
28.09.2017;15.2804;91;F03;pCA Dosing (Delta.Time [h]);Dosing:F03;BioLector:F03;10;Dosing;Fixed;
28.09.2017;15.2804;91;A01;Harvest (Delta.Time [h]);BioLector:A01;Sampling:A01;850;Sampling;Fixed;
28.09.2017;15.2804;91;A05;Harvest (Delta.Time [h]);BioLector:A05;Sampling:A04;850;Sampling;Fixed;
28.09.2017;15.2804;91;B01;Harvest (Delta.Time [h]);BioLector:B01;Sampling:B01;850;Sampling;Fixed;
28.09.2017;15.2804;91;B05;Harvest (Delta.Time [h]);BioLector:B05;Sampling:B04;850;Sampling;Fixed;
28.09.2017;15.2804;91;C01;Harvest (Delta.Time [h]);BioLector:C01;Sampling:C01;850;Sampling;Fixed;
28.09.2017;15.2804;91;C05;Harvest (Delta.Time [h]);BioLector:C05;Sampling:C04;850;Sampling;Fixed;
28.09.2017;15.54426;92;F07;Glc Dosing (Delta.Time [h]);Dosing:F04;BioLector:F07;22;Dosing;Fixed;
28.09.2017;15.54426;92;F08;Glc Dosing (Delta.Time [h]);Dosing:F04;BioLector:F08;22;Dosing;Fixed;
28.09.2017;15.54426;92;F07;pCA Dosing (Delta.Time [h]);Dosing:F02;BioLector:F07;10;Dosing;Fixed;
28.09.2017;15.54426;92;F08;pCA Dosing (Delta.Time [h]);Dosing:F02;BioLector:F08;10;Dosing;Fixed;
28.09.2017;17.04425;101;A01;Glc Dosing (Delta.Time [h]);Dosing:A04;BioLector:A01;22;Dosing;Fixed;
28.09.2017;17.04425;101;A02;Glc Dosing (Delta.Time [h]);Dosing:A04;BioLector:A02;22;Dosing;Fixed;
28.09.2017;17.04425;101;A03;Glc Dosing (Delta.Time [h]);Dosing:A04;BioLector:A03;22;Dosing;Fixed;
28.09.2017;17.04425;101;B01;Glc Dosing (Delta.Time [h]);Dosing:B04;BioLector:B01;22;Dosing;Fixed;
28.09.2017;17.04425;101;B02;Glc Dosing (Delta.Time [h]);Dosing:B04;BioLector:B02;22;Dosing;Fixed;
28.09.2017;17.04425;101;B03;Glc Dosing (Delta.Time [h]);Dosing:B04;BioLector:B03;22;Dosing;Fixed;
28.09.2017;17.04425;101;B04;Glc Dosing (Delta.Time [h]);Dosing:B04;BioLector:B04;22;Dosing;Fixed;
28.09.2017;17.04425;101;B05;Glc Dosing (Delta.Time [h]);Dosing:B04;BioLector:B05;22;Dosing;Fixed;
28.09.2017;17.04425;101;B06;Glc Dosing (Delta.Time [h]);Dosing:B04;BioLector:B06;22;Dosing;Fixed;
28.09.2017;17.04425;101;B07;Glc Dosing (Delta.Time [h]);Dosing:B04;BioLector:B07;22;Dosing;Fixed;
28.09.2017;17.04425;101;C01;Glc Dosing (Delta.Time [h]);Dosing:C04;BioLector:C01;22;Dosing;Fixed;
28.09.2017;17.04425;101;C02;Glc Dosing (Delta.Time [h]);Dosing:C04;BioLector:C02;22;Dosing;Fixed;
28.09.2017;17.04425;101;C03;Glc Dosing (Delta.Time [h]);Dosing:C04;BioLector:C03;22;Dosing;Fixed;
28.09.2017;17.04425;101;C04;Glc Dosing (Delta.Time [h]);Dosing:C04;BioLector:C04;22;Dosing;Fixed;
28.09.2017;17.04425;101;C05;Glc Dosing (Delta.Time [h]);Dosing:C04;BioLector:C05;22;Dosing;Fixed;
28.09.2017;17.04425;101;C06;Glc Dosing (Delta.Time [h]);Dosing:C04;BioLector:C06;22;Dosing;Fixed;
28.09.2017;17.04425;101;D01;Glc Dosing (Delta.Time [h]);Dosing:D04;BioLector:D01;22;Dosing;Fixed;
28.09.2017;17.04425;101;D02;Glc Dosing (Delta.Time [h]);Dosing:D04;BioLector:D02;22;Dosing;Fixed;
28.09.2017;17.04425;101;D03;Glc Dosing (Delta.Time [h]);Dosing:D04;BioLector:D03;22;Dosing;Fixed;
